,Entity,Direct-17H-Rc-Ei,Direct-17H-Rc-Ei_sup,Direct-17H-Rc-Ei_inf,Direct-17H-Rc-Eabs,Direct-17H-Rs-Ei,Direct-17H-Rs-Ei_sup,Direct-17H-Rs-Ei_inf,Direct-17H-Rs-Eabs,Direct-17H-PAR-Ei,Direct-17H-PAR-Ei_sup,Direct-17H-PAR-Ei_inf,Direct-17H-PAR-Eabs
15138,7991018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15139,7994001,0.04263221368513291,0.04292921810713933,0.0,0.03960532651348848,0.04263221368513291,0.04292921810713933,0.0,0.008931448767035347,0.04263221368513291,0.04292921810713933,0.0,0.03787872185924059
15140,7994002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15141,7995001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15142,7995002,0.056721768960769595,0.05543702089380815,0.0,0.05269452336455495,0.056721768960769595,0.05543702089380815,0.0,0.011883210597281231,0.056721768960769595,0.05543702089380815,0.0,0.05039729172164378
15143,7995003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15144,7995004,0.05633693625408896,0.0429322791234349,0.01460873412694329,0.05233701378004865,0.05633693625408896,0.0429322791234349,0.01460873412694329,0.011802588145231638,0.05633693625408896,0.0429322791234349,0.01460873412694329,0.05005536786175804
15145,7995005,0.00568421532298199,0.0,0.007575637971704247,0.005280636035050268,0.00568421532298199,0.0,0.007575637971704247,0.001190843110164727,0.00568421532298199,0.0,0.007575637971704247,0.005050425314469497
15146,7995006,0.042589739933968015,0.040403433523650105,0.0,0.039565868398656286,0.042589739933968015,0.040403433523650105,0.0,0.008922550516166299,0.042589739933968015,0.040403433523650105,0.0,0.03784098393133058
15147,7995007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15148,7995008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15149,7995009,0.03410784725562271,0.03535562600105757,0.0,0.0316861901004735,0.03410784725562271,0.03535562600105757,0.0,0.007145594000052958,0.03410784725562271,0.03535562600105757,0.0,0.030304822286620774
15150,7995010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15151,7995011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15152,7995012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15153,7995013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15154,7995014,0.04831804770810201,0.04545591394092208,0.0,0.04488746632082677,0.04831804770810201,0.04545591394092208,0.0,0.010122630994847372,0.04831804770810201,0.04545591394092208,0.0,0.04293058538864863
15155,7996001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15156,7996002,0.17887434903539093,0.15432146906527017,0.019478379348388634,0.16617427025387818,0.17887434903539093,0.15432146906527017,0.019478379348388634,0.037474176122914406,0.17887434903539093,0.15432146906527017,0.019478379348388634,0.15892985911794483
15157,7996003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15158,7996004,0.011368168367222787,0.012625771992846807,0.0,0.010561028413149967,0.011368168367222787,0.012625771992846807,0.0,0.0023816312729331734,0.011368168367222787,0.012625771992846807,0.0,0.010100617594277444
15159,7996005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15160,7996006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15161,7996007,0.08491705731906261,0.07327328013470308,0.012175525293284056,0.07888794624940916,0.08491705731906261,0.07327328013470308,0.012175525293284056,0.01779012350834362,0.08491705731906261,0.07327328013470308,0.012175525293284056,0.07544880542798713
15162,7996008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15163,7996009,0.22751489688062462,0.2249199877918108,0.0,0.21136133920210032,0.22751489688062462,0.2249199877918108,0.0,0.047664370896490865,0.22751489688062462,0.2249199877918108,0.0,0.20214698587843496
15164,7996010,0.020189380327544956,0.020500873624027076,0.0,0.018755934324289267,0.020189380327544956,0.020500873624027076,0.0,0.004229675178620669,0.020189380327544956,0.020500873624027076,0.0,0.01793826442102369
15165,7996011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15166,7996012,0.055522478080675626,0.04211405499123073,0.014606713785960282,0.051580382136947656,0.055522478080675626,0.04211405499123073,0.014606713785960282,0.011631959157901543,0.055522478080675626,0.04211405499123073,0.014606713785960282,0.04933172177468029
15167,7996013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15168,7996014,0.0732602256657768,0.07512866643234688,0.0,0.06805874964350665,0.0732602256657768,0.07512866643234688,0.0,0.015348017276980245,0.0732602256657768,0.07512866643234688,0.0,0.0650917105040427
15169,8002001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15170,8002002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15171,8003001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15172,8003002,0.1945680435037766,0.0,0.2025634126506974,0.18075371241500846,0.1945680435037766,0.0,0.2025634126506974,0.0407620051140412,0.1945680435037766,0.0,0.2025634126506974,0.17287370665310547
15173,8003003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15174,8003004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15175,8003005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15176,8003006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15177,8003007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15178,8003008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15179,8003009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15180,8003010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15181,8003011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15182,8003012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15183,8004001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15184,8004002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15185,8004003,0.02264080419447361,0.0,0.02267882539407262,0.021033307096665982,0.02264080419447361,0.0,0.02267882539407262,0.004743248478742222,0.02264080419447361,0.0,0.02267882539407262,0.020116354526789802
15186,8004004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15187,8004005,0.08809506737076475,0.0,0.08837214056652763,0.08184031758744044,0.08809506737076475,0.0,0.08837214056652763,0.018455916614175213,0.08809506737076475,0.0,0.08837214056652763,0.07827246735892447
15188,8004006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15189,8004007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15190,8004008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15191,8004009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15192,8004010,0.1123616001175609,0.0,0.1168779883369204,0.10438392650921408,0.1123616001175609,0.0,0.1168779883369204,0.02353975522462901,0.1123616001175609,0.0,0.1168779883369204,0.09983328170445284
15193,8004011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15194,8004012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15195,8004013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15196,8004014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15197,8004015,0.18642382407266103,0.0,0.1907522282840961,0.17318773256350212,0.18642382407266103,0.0,0.1907522282840961,0.03905579114322249,0.18642382407266103,0.0,0.1907522282840961,0.1656375676885593
15198,8004016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15199,8004017,0.028839419202944003,0.0,0.028186206357997318,0.02679182043953498,0.028839419202944003,0.0,0.028186206357997318,0.0060418583230167685,0.028839419202944003,0.0,0.028186206357997318,0.02562382396181575
15200,8007001,0.053997113558456364,0.0,0.05555166203827086,0.05016331849580597,0.053997113558456364,0.0,0.05555166203827086,0.01131239529049661,0.053997113558456364,0.0,0.05555166203827086,0.04797643539668848
15201,8007002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15202,8007003,0.06791499801246528,0.0,0.0704268804318455,0.06309303315358024,0.06791499801246528,0.0,0.0704268804318455,0.014228192083611478,0.06791499801246528,0.0,0.0704268804318455,0.0603424757340754
15203,8007004,0.08808795142756053,0.0,0.090889716592321,0.08183370687620373,0.08808795142756053,0.0,0.090889716592321,0.01845442582407393,0.08808795142756053,0.0,0.090889716592321,0.07826614484338754
15204,8007005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15205,8007006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15206,8007007,0.01989447207815293,0.0,0.020201415361644427,0.01848196456060407,0.01989447207815293,0.0,0.020201415361644427,0.004167891900373039,0.01989447207815293,0.0,0.020201415361644427,0.017676238441438875
15207,8007008,0.3192755012951556,0.0,0.328100655587749,0.2966069407031996,0.3192755012951556,0.0,0.328100655587749,0.0668882175213351,0.3192755012951556,0.0,0.328100655587749,0.28367628290074565
15208,8007009,0.010960789986453213,0.009738661902963677,0.0,0.010182573897415033,0.010960789986453213,0.009738661902963677,0.0,0.0022962855021619478,0.010960789986453213,0.009738661902963677,0.0,0.009738661902963677
15209,8010001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15210,8010002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15211,8010003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15212,8010004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15213,8010005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15214,8010006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15215,8013001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15216,8013002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15217,8013003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15218,8013004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15219,8013005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
